UTC Time,Latitude,Longitude,Altitude
2023-09-12T23:27:03.235,50.7526257,6.072511,1.025
2023-09-12T23:27:04.237,50.7526626,6.0724898,1.186
2023-09-12T23:27:05.239,50.7526771,6.0724735,1.135
2023-09-12T23:27:06.241,50.7526959,6.0724627,1.186
2023-09-12T23:27:07.244,50.752706,6.0724525,1.152
2023-09-12T23:27:08.247,50.7527184,6.0724497,1.198
2023-09-12T23:27:09.250,50.7527499,6.072435,1.147
2023-09-12T23:27:10.254,50.7527572,6.0724239,0.952
2023-09-12T23:27:11.257,50.752762,6.0724206,1.102
2023-09-12T23:27:12.259,50.7527509,6.0724264,1.203
2023-09-12T23:27:13.263,50.7527453,6.0724265,1.079
2023-09-12T23:27:14.269,50.7527539,6.0724176,1.042
2023-09-12T23:27:15.272,50.7527544,6.0724139,1.175
2023-09-12T23:27:16.277,50.7527414,6.0724073,1.203
2023-09-12T23:27:17.281,50.7527246,6.0724163,0.946
2023-09-12T23:27:18.286,50.752705,6.0724257,1.257
2023-09-12T23:27:19.288,50.7526991,6.0724223,1.138
2023-09-12T23:27:20.291,50.7526977,6.0724203,1.079
2023-09-12T23:27:21.295,50.7527106,6.0724014,1.085
2023-09-12T23:27:22.297,50.7527134,6.0723937,0.926
2023-09-12T23:27:23.299,50.7527142,6.0723919,0.935
2023-09-12T23:27:24.300,50.7527134,6.0723866,1.028
2023-09-12T23:27:25.303,50.7527157,6.0723845,1.243
2023-09-12T23:27:26.306,50.7527021,6.0723901,1.412
2023-09-12T23:27:27.310,50.7527053,6.0723851,1.102
2023-09-12T23:27:28.311,50.7526869,6.0723913,1.11
2023-09-12T23:27:29.313,50.7526735,6.0723876,1.076
2023-09-12T23:27:30.315,50.7526764,6.0723835,1.215
2023-09-12T23:27:31.317,50.7526841,6.0723782,1.189
2023-09-12T23:27:32.319,50.7526706,6.0723791,1.11
2023-09-12T23:27:33.321,50.752665,6.0723881,1.254
2023-09-12T23:27:34.322,50.752668,6.0723746,1.107
2023-09-12T23:27:35.324,50.7526741,6.0723655,1.164
